question,reference_answer,reference_context,conversation_history,metadata,agent_answer,correctness,RAGAS Context Precision,RAGAS Faithfulness,RAGAS Answer Relevancy,RAGAS Context Recall,correctness_reason
ما هي المتطلبات التي يجب على صاحب العمل توفيرها في المناجم أو المحاجر التي يعمل فيها خمسون عاملاً على الأقل؟,يجب على صاحب العمل في المناجم أو المحاجر التي يعمل فيها خمسون عاملاً على الأقل أن يعد مكاناً مناسباً يحتوي على غرفة مجهزة بوسائل الإنقاذ والإسعافات الأولية، وأخرى للتمريض، فضلاً عن غرفة أو أكثر لتغيير الملابس.,"Document 225: content: مع عدم الإخلال بحكم المادة الثانية والأربعين بعد المائة من هذا النظام على صاحب العمل أن يعد في كل منجم أو محجر يشتغل فيه خمسون عاملاً على الأقل مكاناً مناسباً يحتوي على غرفة مجهزة بوسائل الإنقاذ والإسعافات الأولية، وأخرى للتمريض، فضلاً عن غرفة أو أكثر لتغيير الملابس. أما في المناجم والمحاجر التي يقل عدد العمال في كل منها عن خمسين عاملاً وتقع في دائرة قطرها عشرون كيلو متراً فيجوز لصاحب العمل أن يشترك في إنشاء مكان للإنقاذ والإسعاف في مكان وسط، أو ينشئ مكاناً للإنقاذ والإسعاف مستقلاً.
وللوزير تحديد وسائل الإنقاذ والإسعاف وتدابير الوقاية والحماية في المناجم والمحاجر، وكذلك مسؤوليات أصحاب العمل وحقوق العمال وواجباتهم.
---
فصل: None
مادة: المادة الثالثة والتسعون بعد المائة:",[],"{'question_type': 'simple', 'seed_document_id': 225, 'topic': 'قانون العمل'}",صاحب العمل مطالب بتوفير مكان مناسب في كل منجم أو محجر يعمل فيه خمسون عاملاً على الأقل، يحتوي على غرفة مجهزة بوسائل الإنقاذ والإسعافات الأولية، وأخرى للتمريض، بالإضافة إلى غرفة أو أكثر لتغيير الملابس.,True,0.3333333333,1.0,0.7898570245089078,1.0,
ما هو الوضع الحالي للمادة الثانية عشرة بعد المائتين في النظام؟,المادة الثانية عشرة بعد المائتين ملغاة.,"Document 246: content: (ملغــــــاة)
فصل: None
مادة: المادة الثانية عشرة بعد المائتين:

Document 247: content: (ملغــــــاة)
فصل: None
مادة: المادة الثالثة عشرة بعد المائتين:

Document 252: content: (ملغــــــاة)
فصل: None
مادة: المادة الثامنة عشرة بعد المائتين:

Document 277: content: (ملغــــــاة)
فصل: None
مادة: المادة الثانية والأربعون بعد المائتين :",[],"{'question_type': 'simple', 'seed_document_id': 246, 'topic': 'مواد قانونية ملغاة'}",آسف، لكن النص المقدم لا يحتوي على معلومات حول المادة الثانية عشرة بعد المائتين في النظام. يرجى تقديم المزيد من التفاصيل أو السياق للمساعدة في الإجابة على سؤالك.,False,0.0,0.25,0.0,0.0,"The agent stated that it does not have information on the specified article, but the correct answer is that the article is canceled."
ما هو عنوان الفصل الأول في السياق المقدم؟,عقد العمل,"Document 62: content: 
فصل: الفصل الأول: عقد العمل
مادة: None",[],"{'question_type': 'simple', 'seed_document_id': 62, 'topic': 'نظام العمل'}",السياق المقدم لا يحتوي على عناوين للفصول. يتم تقديم معلومات حول القواعد المتعلقة بعقود العمل البحرية والإبلاغ عن الأحداث والمعلومات المطلوبة عند بدء العمل في منشأة جديدة.,False,0.249999999975,1.0,0.0,0.0,"The agent stated that the context does not contain chapter titles, but the reference answer indicates that the title of the first chapter is 'عقد العمل'."
ماذا يجب على المفتش فعله إذا تحقق من وجود مخالفة لأحكام النظام أثناء التفتيش؟,يجب على المفتش تحرير محضر ضبط بالمخالفة وفقاً للأحكام الواردة في اللائحة التنفيذية لضبط أعمال التفتيش وتنظيمها، ورفعه إلى الوزير لإصدار قرار بذلك.,"Document 236: content: إذا تحقق للمفتش أثناء التفتيش وجود مخالفة لأحكام هذا النظام أو اللائحة أو القرارات الصادرة تنفيذاً له، فعليه تحرير محضر ضبط بالمخالفة وفقاً للأحكام الواردة في اللائحة التنفيذية لضبط أعمال التفتيش وتنظيمها، ورفعه إلى الوزير لإصدار قرار بذلك.
فصل: None
مادة: المادة الثالثة بعد المائتين[^50]:",[],"{'question_type': 'simple', 'seed_document_id': 236, 'topic': 'قانون العمل'}",إذا تحقق للمفتش وجود مخالفة لأحكام النظام أثناء التفتيش، يجب عليه تحرير محضر ضبط بالمخالفة وفقاً للأحكام الواردة في اللائحة التنفيذية لضبط أعمال التفتيش وتنظيمها، ثم يرفعه إلى الوزير لإصدار قرار بذلك.,True,0.9999999999,1.0,0.9835756054336976,1.0,
ما هي الحالات التي يمكن فيها زيادة أو تخفيض ساعات العمل وفقاً للمادة التاسعة والتسعين؟,يجوز زيادة ساعات العمل إلى تسع ساعات في اليوم لبعض فئات العمال أو في بعض الصناعات والأعمال غير المستمرة، كما يجوز تخفيضها إلى سبع ساعات في اليوم لبعض فئات العمال أو في بعض الصناعات والأعمال الخطرة أو الضارة.,"Document 118: content: يجوز زيادة ساعات العمل المنصوص عليها في المادة الثامنة والتسعين من هذا النظام إلى تسع ساعات في اليوم الواحد لبعض فئات العمال، أو في بعض الصناعات والأعمال التي لا يشتغل فيها العامل بصفة مستمرة. كما يجوز تخفيضها إلى سبع ساعات في اليوم الواحد لبعض فئات العمال أو في بعض الصناعات والأعمال الخطرة أو الضارة. وتحدد فئات العمال والصناعات والأعمال المشار إليها بقرار من الوزير.
فصل: الفصل الثاني: ساعات العمل
مادة: المادة التاسعة والتسعون:",[],"{'question_type': 'simple', 'seed_document_id': 118, 'topic': 'قانون العمل'}",يمكن زيادة ساعات العمل إلى تسع ساعات في اليوم لبعض فئات العمال أو في بعض الصناعات والأعمال التي لا يشتغل فيها العمال بصفة مستمرة. ويمكن تخفيضها إلى سبع ساعات في اليوم لبعض فئات العمال أو في بعض الصناعات والأعمال الخطرة أو الضارة. تحدد هذه الفئات والصناعات والأعمال بقرار من الوزير.,True,0.9999999999,1.0,0.0,1.0,
ما هي الأولوية في تسديد الديون المستحقة للعامل أو ورثته في حالة إفلاس صاحب العمل أو تصفية منشأته وفقًا للنظام المذكور؟,تعد المبالغ المستحقة للعامل أو ورثته ديوناً ممتازة من الدرجة الأولى، ويدفع للعامل مبلغ معجل يعادل أجر شهر واحد قبل سداد أي مصروف آخر.,"Document 23: content: تعد المبالغ المستحقة للعامل أو ورثته بمقتضى هذا النظام ديوناً ممتازة من الدرجة الأولى. وللعامل وورثته في سبيل استيفائها امتياز على جميع أموال صاحب العمل.
وفي حالة إفلاس صاحب العمل أو تصفية منشأته تسجل المبالغ المذكورة ديوناً ممتازة، ويدفع للعامل مبلغ معجل يعادل أجر شهر واحد، وذلك قبل سداد أي مصروف آخر - بما في ذلك المصروفات القضائية ومصروفات الإفلاس أو التصفية.
فصل: المادة الثالثة عشرة:
مادة: المادة التاسعة عشرة:",[],"{'question_type': 'simple', 'seed_document_id': 23, 'topic': 'قانون العمل'}",في حالة إفلاس صاحب العمل أو تصفية منشأته، تعتبر المبالغ المستحقة للعامل أو ورثته ديوناً ممتازة من الدرجة الأولى. يتم دفع مبلغ معجل يعادل أجر شهر واحد للعامل قبل سداد أي مصروف آخر، بما في ذلك المصروفات القضائية ومصروفات الإفلاس أو التصفية.,True,0.9999999999,1.0,0.521585898404931,1.0,
ما هي مسؤوليات الوزير وفقاً للمادة الحادية والثلاثين بعد المائة؟,يصدر الوزير اللوائح والقرارات التي تتضمن الترتيبات اللازمة على مستوى المنشأة للوقاية من المخاطر الكبرى، وواجبات أصحاب العمل في هذا الخصوص، وكذلك الترتيبات المتخذة لحماية الجمهور والبيئة خارج موقع كل منشأة ذات مخاطر كبرى، وحقوق العمال وواجباتهم، وغير ذلك من التدابير اللازمة لمنع الحوادث الكبرى والتقليل من مخاطر وقوعها والحد من آثارها.,"Document 156: content: يصدر الوزير اللوائح والقرارات التي تتضمن الترتيبات اللازمة على مستوى المنشأة للوقاية من المخاطر الكبرى، وواجبات أصحاب العمل في هذا الخصوص، وكذلك الترتيبات المتخذة لحماية الجمهور والبيئة خارج موقع كل منشـــأة ذات مخاطر كبرى، وحقوق العمال وواجباتهم، وغير ذلك من التدابير اللازمة لمنع الحوادث الكبرى والتقليل من مخاطر وقوعها والحد من آثارها.
فصل: الفصل الثاني:الوقاية من الحوادث الصناعية الكبرى
مادة: المادة الحادية والثلاثون بعد المائة:",[],"{'question_type': 'simple', 'seed_document_id': 156, 'topic': 'قانون العمل'}",وفقاً للمادة الحادية والثلاثين بعد المائة، يتوجب على الوزير إصدار القرارات واللوائح اللازمة لتنفيذ أحكام النظام خلال 180 يوماً من تاريخ العمل به. كما يتعين عليه إصدار جداول تحدد المخالفات والعقوبات المقابلة لها، والمخالفات التي تتجاوز عقوباتها نصف الحد الأعلى للعقوبتين. بالإضافة إلى ذلك، يمكن للوزير الاتفاق على تسوية المخالفة بدفع مبلغ الغرامة الذي تقدره الوزارة.,False,0.0,0.8,0.5580392112910904,0.0,"The agent provided responsibilities related to issuing decisions and regulations, but the reference answer focuses on responsibilities related to safety measures, employer duties, and accident prevention."
وفقاً للنظام السعودي، ما هي المدة القصوى لفترة التجربة للعامل، مع الأخذ في الاعتبار إمكانية تمديدها باتفاق مكتوب بين العامل وصاحب العمل؟,المدة القصوى لفترة التجربة للعامل هي تسعون يوماً، ويمكن تمديدها باتفاق مكتوب بين العامل وصاحب العمل إلى مائة وثمانين يوماً.,"Document 66: content: إذا كان العامل خاضعاً لفترة تجربة، وجب النص على ذلك صراحة في عقد العمل، وتحديدها بوضوح، بحيث لا تزيد على تسعين يوماً. ويجوز باتفاق مكتوب بين العامل وصاحب العمل تمديد فترة التجربة، على ألا تزيد على مائة وثمانين يوماً. ولا تدخل في حساب فترة التجربة إجازة عيدي الفطر والأضحى والإجازة المرضية. ولكل من الطرفين الحق في إنهاء العقد خلال هذه الفترة ما لم يتضمن العقد نصاً يعطي الحق في الإنهاء لأحدهما.
فصل: الفصل الأول: عقد العمل
مادة: المادة الثالثة والخمسون[^15]:",[],"{'question_type': 'complex', 'seed_document_id': 66, 'topic': 'قانون العمل'}",وفقاً للقانون السعودي، المدة القصوى لفترة التجربة للعامل هي تسعين يوماً. ومع ذلك، يمكن تمديد هذه الفترة باتفاق مكتوب بين العامل وصاحب العمل، بشرط ألا تزيد المدة الإجمالية عن مائة وثمانين يوماً.,True,0.9999999999,1.0,0.8695489785252465,1.0,
من هم الأفراد أو المجموعات الذين لا تشملهم أحكام نظام العمل السعودي، مع الأخذ في الاعتبار التعديلات الملكية الأخيرة؟,الفئات المستثناة تشمل أفراد أسرة صاحب العمل، لاعبي الأندية والاتحادات الرياضية ومدربيها، العمالة المنزلية، عمال الزراعة والرعاة الخاصين، عمال البحر الذين يعملون في سفن تقل حمولتها عن خمسمائة طن، والعاملين غير السعوديين القادمون لأداء مهمة محددة ولمدة لا تزيد على شهرين.,"Document 10: content: 1. يستثنى من تطبيق أحكام هذا النظام كل من:
أ. أفراد أسرة صاحب العمل، وهم زوجه وأصوله وفروعه الذين يعملون في المنشأة التي لا تضم سواهم.
ب. لاعبو الأندية والاتحادات الرياضية ومدربوها.
ج. العمالة المنزلية ومن في حكمهم.
د. عمال الزراعة والرعاة الخاصون ومن في حكمهم.
ه. عمال البحر الذين يعملون في سفن تقل حمولتها عن خمسمائة طن.
و. العاملون غير السعوديين القادمون لأداء مهمة محددة ولمدة لا تزيد على شهرين.
2. يصدر الوزير - بالتنسيق مع الجهات المختصة - لائحة أو أكثر للفئات الواردة في الفقرات (أ) و(ج) و(د) و(هـ) و(و) من الفقرة (1) من هذه المادة؛ تشتمل على الحقوق والواجبات والأحكام الخاصة الأخرى ذات الصلة بكل فئة.
----
2 عدلت بالمرسوم الملكي رقم (م/134) وتاريخ 1440/11/27هـ.
3 عدلت بالمرسوم الملكي رقم (م/46) وتاريخ 1436/6/5هـ.
4 عدلت بالمرسوم الملكي رقم (م/46) وتاريخ 1436/6/5هـ.
7
---
فصل: الفصل الثاني
مادة: المادة السابعة:",[],"{'question_type': 'complex', 'seed_document_id': 10, 'topic': 'قانون العمل'}",الأفراد أو المجموعات التي لا تشملهم أحكام نظام العمل السعودي هم: أفراد أسرة صاحب العمل الذين يعملون في المنشأة التي لا تضم سواهم، لاعبو الأندية والاتحادات الرياضية ومدربوها، العمالة المنزلية ومن في حكمهم، عمال الزراعة والرعاة الخاصون ومن في حكمهم، عمال البحر الذين يعملون في سفن تقل حمولتها عن خمسمائة طن، والعاملون غير السعوديين القادمون لأداء مهمة محددة ولمدة لا تزيد على شهرين.,True,0.49999999995,1.0,0.8245587765582338,1.0,
تحت أي ظروف أو شروط لا تنطبق أحكام المادة العشرون بعد المائة على العاملين لبعض الوقت، باستثناء الحماية الممنوحة للعاملين بدوام كامل؟,لا تسري أحكام النظام إلا في الحدود التي يقررها الوزير، باستثناء الحماية الممنوحة للعاملين طوال الوقت المماثلين، من حيث السلامة والصحة المهنية وإصابات العمل.,"Document 142: content: يصدر الوزير القواعد والضوابط اللازمة لتنظيم العمل لبعض الوقت، يحدد فيه الالتزامات المترتبة على كل من العامل لبعض الوقت، وصاحب العمل. ولا تسري أحكام هذا النظام إلا في الحدود التي يقررها الوزير، باستثناء الحماية الممنوحة للعاملين طوال الوقت المماثلين، من حيث السلامة والصحة المهنية وإصابات العمل.
فصل: None
مادة: المادة العشرون بعد المائة:",[],"{'question_type': 'complex', 'seed_document_id': 142, 'topic': 'قانون العمل'}",أحكام المادة العشرون بعد المائة لا تنطبق على الأشخاص الذين يشغلون مناصب عالية ذات مسؤولية في الإدارة والتوجيه، الأعمال التجهيزية أو التكميلية التي يجب إنجازها قبل ابتداء العمل أو بعده، العمل الذي يكون متقطعاً بالضرورة، والعمال المخصصون للحراسة والنظافة، عدا عمال الحراسة الأمنية المدنية. تحدد اللائحة الأعمال المبينة في هذه الفقرات والحد الأقصى لساعات العمل فيها.,False,0.5833333333041666,1.0,0.5172926104820061,1.0,"The agent provided a list of exceptions for high-responsibility positions and specific work types, but the reference answer specifies that the provisions do not apply except as determined by the minister, with exceptions for full-time workers in terms of occupational safety and health."
ما هي التفاصيل أو البيانات التي يمكن استنتاجها من الفقرات المقدمة والتي لا تحتوي على فصل أو مادة محددة؟,لا تحتوي الفقرات المقدمة على أي معلومات مفيدة أو مواد قانونية، حيث أن جميعها تحتوي على 'None' لكل من الفصل والمادة.,"Document 50: content: 
فصل: None
مادة: None

Document 216: content: 
فصل: None
مادة: None

Document 105: content: 
فصل: None
مادة: None

Document 177: content: 
فصل: None
مادة: None",[],"{'question_type': 'complex', 'seed_document_id': 50, 'topic': 'نظام العمل'}",التفاصيل التي يمكن استنتاجها من الفقرات المقدمة تشمل الأمور التالية: يجب على صاحب العمل إرسال بيانات محددة إلى مكتب العمل المختص، مثل الوظائف الشاغرة والمستحدثة، والإشعارات حول توظيف المواطنين، وبيانات عن العمال ووظائفهم وأجورهم وغيرها. يجب أن يتم إرسال هذه البيانات في أوقات محددة. عند بدء العمل في أي منشأة، يجب على صاحب العمل إبلاغ مكتب العمل المختص ببيانات معينة مثل اسم المنشأة ونوعها ومركزها والعنوان الذي توجه إليه المراسلات.,False,0.3333333333,1.0,0.2567978232665264,0.0,"The agent provided details about employer obligations, which is unrelated to the user's question about paragraphs without specific chapters or articles. The reference answer indicates that the paragraphs contain no useful information or legal materials."
